"ecosystem","component","version","usage","complete","without_informix","license","evidence","source","decision","note"
"asset","Inter","archivo local","landing","no; solo web","no; solo web","SIL OFL 1.1","landing/assets/inter-LICENSE.txt","archivo versionado","PENDIENTE REVISION","Confirmar correspondencia entre fuente binaria y aviso."
"asset","JetBrains Mono","archivo local","landing","no; solo web","no; solo web","SIL OFL 1.1","landing/assets/jetbrains-mono-LICENSE.txt","archivo versionado","PENDIENTE REVISION","Confirmar correspondencia entre fuente binaria y aviso."
"asset","Marca e iconos Druse","archivo local","landing y shell","si","si","NO DETERMINADA","landing/assets/druse.png; shells/desktop-tauri/icons","repositorio","PENDIENTE REVISION","Pendiente procedencia y derechos del titular."
"Cargo","adler2","2.0.1","lock multiplataforma: runtime/build por resolver","posible; requiere cargo tree objetivo","igual shell; no depende del proveedor","0BSD OR MIT OR Apache-2.0","Cargo registry:adler2-2.0.1/Cargo.toml","https://crates.io/crates/adler2/2.0.1","PENDIENTE REVISION",""
"Cargo","aho-corasick","1.1.5","lock multiplataforma: runtime/build por resolver","posible; requiere cargo tree objetivo","igual shell; no depende del proveedor","Unlicense OR MIT","Cargo registry:aho-corasick-1.1.5/Cargo.toml","https://crates.io/crates/aho-corasick/1.1.5","PENDIENTE REVISION",""
"Cargo","alloc-no-stdlib","2.0.4","lock multiplataforma: runtime/build por resolver","posible; requiere cargo tree objetivo","igual shell; no depende del proveedor","BSD-3-Clause","Cargo registry:alloc-no-stdlib-2.0.4/Cargo.toml","https://crates.io/crates/alloc-no-stdlib/2.0.4","PENDIENTE REVISION",""
"Cargo","alloc-stdlib","0.2.4","lock multiplataforma: runtime/build por resolver","posible; requiere cargo tree objetivo","igual shell; no depende del proveedor","BSD-3-Clause","Cargo registry:alloc-stdlib-0.2.4/Cargo.toml","https://crates.io/crates/alloc-stdlib/0.2.4","PENDIENTE REVISION",""
"Cargo","android_system_properties","0.1.6","lock multiplataforma: runtime/build por resolver","posible; requiere cargo tree objetivo","igual shell; no depende del proveedor","MIT OR Apache-2.0","Cargo registry:android_system_properties-0.1.6/Cargo.toml","https://crates.io/crates/android_system_properties/0.1.6","PENDIENTE REVISION",""
"Cargo","anyhow","1.0.104","lock multiplataforma: runtime/build por resolver","posible; requiere cargo tree objetivo","igual shell; no depende del proveedor","MIT OR Apache-2.0","Cargo registry:anyhow-1.0.104/Cargo.toml","https://crates.io/crates/anyhow/1.0.104","PENDIENTE REVISION",""
"Cargo","arbitrary","1.4.2","lock multiplataforma: runtime/build por resolver","posible; requiere cargo tree objetivo","igual shell; no depende del proveedor","MIT OR Apache-2.0","Cargo registry:arbitrary-1.4.2/Cargo.toml","https://crates.io/crates/arbitrary/1.4.2","PENDIENTE REVISION",""
"Cargo","atk-sys","0.18.2","lock multiplataforma: runtime/build por resolver","posible; requiere cargo tree objetivo","igual shell; no depende del proveedor","MIT","Cargo registry:atk-sys-0.18.2/Cargo.toml","https://crates.io/crates/atk-sys/0.18.2","PENDIENTE REVISION",""
"Cargo","atk","0.18.2","lock multiplataforma: runtime/build por resolver","posible; requiere cargo tree objetivo","igual shell; no depende del proveedor","MIT","Cargo registry:atk-0.18.2/Cargo.toml","https://crates.io/crates/atk/0.18.2","PENDIENTE REVISION",""
"Cargo","atomic-waker","1.1.2","lock multiplataforma: runtime/build por resolver","posible; requiere cargo tree objetivo","igual shell; no depende del proveedor","Apache-2.0 OR MIT","Cargo registry:atomic-waker-1.1.2/Cargo.toml","https://crates.io/crates/atomic-waker/1.1.2","PENDIENTE REVISION",""
