"archivo","bytes","sha256","estado","origenes"
".gitkeep","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","SIN ATRIBUCION NUGET",""
"appsettings.Development.json","119","817db0bf2ecca78364c41dbaf7949bf2504cf47a1c3d0d54f3be8178fefc030b","SIN ATRIBUCION NUGET",""
"appsettings.json","157","20c04cabc53c0d93d764e9c258b6d4283afe941384325620c962948480e57228","SIN ATRIBUCION NUGET",""
"aspnetcorev2_inprocess.dll","392488","3a0131399a65dd63d50f325b62dfdb891ddacc80a1a9180897af159651fcb5a5","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/native/aspnetcorev2_inprocess.dll"
"BouncyCastle.Cryptography.dll","5155728","ef92fc661e8d7ba8ec4d39a7cdfcdba41f14cb327f0d24fe79d0b5bb428899b5","HASH COINCIDE; REVISION PENDIENTE","BouncyCastle.Cryptography/2.7.0:lib/net6.0/BouncyCastle.Cryptography.dll"
"ClosedXML.dll","1692160","d20270efad0d3f5a17ed35c6fe512c2071b1ed40a57ce91199897f41760ec1bc","HASH COINCIDE; REVISION PENDIENTE","ClosedXML/0.105.1:lib/netstandard2.1/ClosedXML.dll"
"ClosedXML.Parser.dll","192000","8d36e75b9b238e57ddd4122d0e2f6105acdc873bce2f297277ae0a25ddf610eb","HASH COINCIDE; REVISION PENDIENTE","ClosedXML.Parser/2.0.0:lib/netstandard2.1/ClosedXML.Parser.dll"
"clretwrc.dll","317736","7a2186201c87bbc597a1b8b26facd88e68f03be4c4a4211fd65cc6595c72e45b","HASH COINCIDE; REVISION PENDIENTE","Microsoft.NETCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/native/clretwrc.dll"
"clrgc.dll","674088","65e2f97d263824bfb9f75f92e66ebd22229aaf3a5faddef9345811d856c8840e","HASH COINCIDE; REVISION PENDIENTE","Microsoft.NETCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/native/clrgc.dll"
"clrgcexp.dll","711464","23a8050ec68542989b6da6cc906a90faf8a14e6416fd2871a260b781b1c374ae","HASH COINCIDE; REVISION PENDIENTE","Microsoft.NETCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/native/clrgcexp.dll"
