"componente","version","tipo","tipoLicencia","licenciaDeclarada","avisosLocales","pendientes"
"BouncyCastle.Cryptography","2.7.0","package","expression","MIT","1",""
"ClosedXML.Parser","2.0.0","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"ClosedXML","0.105.1","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"DocumentFormat.OpenXml.Framework","3.1.1","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"DocumentFormat.OpenXml","3.1.1","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"ExcelNumberFormat","1.1.0","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"Microsoft.AspNetCore.OpenApi","10.0.10","package","expression","MIT","1",""
"Microsoft.Bcl.Cryptography","9.0.13","package","expression","MIT","2",""
"Microsoft.Data.SqlClient.Extensions.Abstractions","7.0.2","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"Microsoft.Data.SqlClient.Internal.Logging","7.0.2","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"Microsoft.Data.SqlClient.SNI.runtime","6.0.2","package","file","LICENSE.txt","1",""
"Microsoft.Data.SqlClient","7.0.2","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"Microsoft.Data.Sqlite.Core","10.0.11","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"Microsoft.Data.Sqlite","10.0.11","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"Microsoft.IdentityModel.Abstractions","8.16.0","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"Microsoft.IdentityModel.JsonWebTokens","8.16.0","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"Microsoft.IdentityModel.Logging","8.16.0","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"Microsoft.IdentityModel.Protocols.OpenIdConnect","8.16.0","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"Microsoft.IdentityModel.Protocols","8.16.0","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"Microsoft.IdentityModel.Tokens","8.16.0","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"Microsoft.OpenApi","2.7.5","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"Microsoft.SqlServer.Server","1.0.0","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"MySqlConnector","2.6.2","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"Npgsql","10.0.3","package","expression","PostgreSQL","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"RBush.Signed","4.0.0","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"Microsoft.AspNetCore.App.Runtime.win-x64","10.0.12","runtimepack","expression","MIT","2",""
"Microsoft.NETCore.App.Runtime.win-x64","10.0.12","runtimepack","expression","MIT","2",""
"SixLabors.Fonts","1.0.0","package","expression","Apache-2.0","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"SQLitePCLRaw.bundle_e_sqlite3","2.1.12","package","expression","Apache-2.0","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"SQLitePCLRaw.core","2.1.12","package","expression","Apache-2.0","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"SQLitePCLRaw.lib.e_sqlite3","2.1.12","package","expression","Apache-2.0","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"SQLitePCLRaw.provider.e_sqlite3","2.1.12","package","expression","Apache-2.0","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"SSH.NET","2026.0.0","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"System.Configuration.ConfigurationManager","9.0.13","package","expression","MIT","2",""
"System.IdentityModel.Tokens.Jwt","8.16.0","package","expression","MIT","0","No se localizó un texto de licencia/aviso por nombre; una expresión o URL no es una copia del texto."
"System.IO.Packaging","8.0.1","package","expression","MIT","2",""
"System.Security.Cryptography.ProtectedData","9.0.13","package","expression","MIT","2",""
